,sample,study,project,condition,rep_id,contact,creator,run_date,Strain Description,Strain,Base Media,Carbon Source (g/L),Nitrogen Source (g/L),Electron Acceptor,Trace Element Mixture,Supplement,Temperature (C),pH,Antibiotic for selection,Culture Type,Growth Rate (1/hr),Evolved Sample,Isolate Type,Sequencing Machine,Additional Details,Biological Replicates,R1,R2,BAM,alignment,DOI,GEO,Published,SRX,Run,Notes,LibraryLayout,Platform,passed_fastqc,passed_pct_reads_mapped,passed_reads_mapped_to_CDS,passed_global_correlation,full_name,passed_similar_replicates,passed_number_replicates
ecoli_00319,quinone__menFubiC_ale3__1,Respiratory quinone,quinone,menFubiC_ale3,1,Amitesh Anand,Amitesh Anand,5/21/2018,Escherichia coli EEP_menFubiC.3.54.1,GMOS,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,,Endpoint,Clonal,HiSeq 4000,,2,s3://precise-db/raw_data/quinone/HRS_QN18A_S38_L003_R1_001.fastq.gz,s3://precise-db/raw_data/quinone/HRS_QN18A_S38_L003_R2_001.fastq.gz,,,,,0,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,quinone:menFubiC_ale3,TRUE,TRUE
ecoli_00320,quinone__menFubiC_ale3__2,Respiratory quinone,quinone,menFubiC_ale3,2,Amitesh Anand,Amitesh Anand,5/21/2018,Escherichia coli EEP_menFubiC.3.54.1,GMOS,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,,Endpoint,Clonal,HiSeq 4000,,2,s3://precise-db/raw_data/quinone/HRS_QN18B_S39_L003_R1_001.fastq.gz,s3://precise-db/raw_data/quinone/HRS_QN18B_S39_L003_R2_001.fastq.gz,,,,,0,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,quinone:menFubiC_ale3,TRUE,TRUE
ecoli_00321,quinone__menFubiC_ale4__1,Respiratory quinone,quinone,menFubiC_ale4,1,Amitesh Anand,Amitesh Anand,5/21/2018,Escherichia coli EEP_menFubiC.4.55.1,GMOS,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,,Endpoint,Clonal,HiSeq 4000,,2,s3://precise-db/raw_data/quinone/HRS_QN19A_S40_L003_R1_001.fastq.gz,s3://precise-db/raw_data/quinone/HRS_QN19A_S40_L003_R2_001.fastq.gz,,,,,0,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,quinone:menFubiC_ale4,TRUE,TRUE
ecoli_00322,quinone__menFubiC_ale4__2,Respiratory quinone,quinone,menFubiC_ale4,2,Amitesh Anand,Amitesh Anand,5/21/2018,Escherichia coli EEP_menFubiC.4.55.1,GMOS,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,,Endpoint,Clonal,HiSeq 4000,,2,s3://precise-db/raw_data/quinone/HRS_QN19B_S41_L003_R1_001.fastq.gz,s3://precise-db/raw_data/quinone/HRS_QN19B_S41_L003_R2_001.fastq.gz,,,,,0,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,quinone:menFubiC_ale4,TRUE,TRUE
ecoli_00323,oxyR__wt_glc__1,OxyR ALE,oxyR,wt_glc,1,Amitesh Anand,Amitesh Anand,3/8/2019,Escherichia coli K-12 MG1655,MG1655,M9,glucose(4),NH4Cl(1),O2,,,37,7,,Batch,,No,,HiSeq 4000,,2,s3://precise-db/raw_data/oxyR/PAL029_S29_L001_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL029_S29_L002_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL029_S29_L003_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL029_S29_L004_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL029_S29_L001_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL029_S29_L002_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL029_S29_L003_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL029_S29_L004_R2_001.fastq.gz,,,https://doi.org/10.1093/molbev/msz251,,1,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,oxyR:wt_glc,TRUE,TRUE
ecoli_00324,oxyR__wt_glc__2,OxyR ALE,oxyR,wt_glc,2,Amitesh Anand,Amitesh Anand,3/8/2019,Escherichia coli K-12 MG1655,MG1655,M9,glucose(4),NH4Cl(1),O2,,,37,7,,Batch,,No,,HiSeq 4000,,2,s3://precise-db/raw_data/oxyR/PAL030_S30_L001_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL030_S30_L002_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL030_S30_L003_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL030_S30_L004_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL030_S30_L001_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL030_S30_L002_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL030_S30_L003_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL030_S30_L004_R2_001.fastq.gz,,,https://doi.org/10.1093/molbev/msz251,,1,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,oxyR:wt_glc,TRUE,TRUE
ecoli_00325,oxyR__wt_h2o2__1,OxyR ALE,oxyR,wt_h2o2,1,Amitesh Anand,Amitesh Anand,3/8/2019,Escherichia coli K-12 MG1655,MG1655,M9,glucose(4),NH4Cl(1),O2,,H2O2(2mM),37,7,,Batch,,No,,HiSeq 4000,,2,s3://precise-db/raw_data/oxyR/PAL033_S33_L001_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL033_S33_L002_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL033_S33_L003_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL033_S33_L004_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL033_S33_L001_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL033_S33_L002_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL033_S33_L003_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL033_S33_L004_R2_001.fastq.gz,,,https://doi.org/10.1093/molbev/msz251,,1,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,oxyR:wt_h2o2,TRUE,TRUE
ecoli_00326,oxyR__wt_h2o2__2,OxyR ALE,oxyR,wt_h2o2,2,Amitesh Anand,Amitesh Anand,3/8/2019,Escherichia coli K-12 MG1655,MG1655,M9,glucose(4),NH4Cl(1),O2,,H2O2(2mM),37,7,,Batch,,No,,HiSeq 4000,,2,s3://precise-db/raw_data/oxyR/PAL034_S34_L001_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL034_S34_L002_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL034_S34_L003_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL034_S34_L004_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL034_S34_L001_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL034_S34_L002_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL034_S34_L003_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL034_S34_L004_R2_001.fastq.gz,,,https://doi.org/10.1093/molbev/msz251,,1,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,oxyR:wt_h2o2,TRUE,TRUE
ecoli_00327,oxyR__glu_ale4__1,OxyR ALE,oxyR,glu_ale4,1,Amitesh Anand,Amitesh Anand,3/8/2019,GMOS,GMOS,M9,glucose(4),NH4Cl(1),O2,,,37,7,,Batch,,Endpoint,Clonal,HiSeq 4000,,2,s3://precise-db/raw_data/oxyR/PAL035_S35_L001_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL035_S35_L002_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL035_S35_L003_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL035_S35_L004_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL035_S35_L001_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL035_S35_L002_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL035_S35_L003_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL035_S35_L004_R2_001.fastq.gz,,,https://doi.org/10.1093/molbev/msz251,,1,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,oxyR:glu_ale4,TRUE,TRUE
ecoli_00328,oxyR__glu_ale4__2,OxyR ALE,oxyR,glu_ale4,2,Amitesh Anand,Amitesh Anand,3/8/2019,GMOS,GMOS,M9,glucose(4),NH4Cl(1),O2,,,37,7,,Batch,,Endpoint,Clonal,HiSeq 4000,,2,s3://precise-db/raw_data/oxyR/PAL036_S36_L001_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL036_S36_L002_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL036_S36_L003_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL036_S36_L004_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL036_S36_L001_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL036_S36_L002_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL036_S36_L003_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL036_S36_L004_R2_001.fastq.gz,,,https://doi.org/10.1093/molbev/msz251,,1,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,oxyR:glu_ale4,TRUE,TRUE
ecoli_00329,oxyR__glu_ale4_h2o2__1,OxyR ALE,oxyR,glu_ale4_h2o2,1,Amitesh Anand,Amitesh Anand,3/8/2019,GMOS,GMOS,M9,glucose(4),NH4Cl(1),O2,,H2O2(2mM),37,7,,Batch,,Endpoint,Clonal,HiSeq 4000,,2,s3://precise-db/raw_data/oxyR/PAL037_S37_L001_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL037_S37_L002_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL037_S37_L003_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL037_S37_L004_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL037_S37_L001_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL037_S37_L002_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL037_S37_L003_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL037_S37_L004_R2_001.fastq.gz,,,https://doi.org/10.1093/molbev/msz251,,1,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,oxyR:glu_ale4_h2o2,TRUE,TRUE
ecoli_00330,oxyR__glu_ale4_h2o2__2,OxyR ALE,oxyR,glu_ale4_h2o2,2,Amitesh Anand,Amitesh Anand,3/8/2019,GMOS,GMOS,M9,glucose(4),NH4Cl(1),O2,,H2O2(2mM),37,7,,Batch,,Endpoint,Clonal,HiSeq 4000,,2,s3://precise-db/raw_data/oxyR/PAL038_S38_L001_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL038_S38_L002_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL038_S38_L003_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL038_S38_L004_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL038_S38_L001_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL038_S38_L002_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL038_S38_L003_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL038_S38_L004_R2_001.fastq.gz,,,https://doi.org/10.1093/molbev/msz251,,1,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,oxyR:glu_ale4_h2o2,TRUE,TRUE
ecoli_00331,oxyR__oxyR_ale17__1,OxyR ALE,oxyR,oxyR_ale17,1,Amitesh Anand,Amitesh Anand,3/8/2019,Escherichia coli OxyR.17.45,GMOS,M9,glucose(4),NH4Cl(1),O2,,,37,7,,Batch,,Endpoint,Clonal,HiSeq 4000,,2,s3://precise-db/raw_data/oxyR/PAL039_S39_L001_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL039_S39_L002_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL039_S39_L003_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL039_S39_L004_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL039_S39_L001_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL039_S39_L002_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL039_S39_L003_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL039_S39_L004_R2_001.fastq.gz,,,https://doi.org/10.1093/molbev/msz251,,1,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,oxyR:oxyR_ale17,TRUE,TRUE
ecoli_00332,oxyR__oxyR_ale17__2,OxyR ALE,oxyR,oxyR_ale17,2,Amitesh Anand,Amitesh Anand,3/8/2019,Escherichia coli OxyR.17.45,GMOS,M9,glucose(4),NH4Cl(1),O2,,,37,7,,Batch,,Endpoint,Clonal,HiSeq 4000,,2,s3://precise-db/raw_data/oxyR/PAL040_S40_L001_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL040_S40_L002_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL040_S40_L003_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL040_S40_L004_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL040_S40_L001_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL040_S40_L002_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL040_S40_L003_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL040_S40_L004_R2_001.fastq.gz,,,https://doi.org/10.1093/molbev/msz251,,1,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,oxyR:oxyR_ale17,TRUE,TRUE
ecoli_00333,oxyR__oxyR_ale17_h2o2__1,OxyR ALE,oxyR,oxyR_ale17_h2o2,1,Amitesh Anand,Amitesh Anand,3/8/2019,Escherichia coli OxyR.17.45,GMOS,M9,glucose(4),NH4Cl(1),O2,,H2O2(2mM),37,7,,Batch,,Endpoint,Clonal,HiSeq 4000,,2,s3://precise-db/raw_data/oxyR/PAL041_S41_L001_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL041_S41_L002_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL041_S41_L003_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL041_S41_L004_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL041_S41_L001_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL041_S41_L002_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL041_S41_L003_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL041_S41_L004_R2_001.fastq.gz,,,https://doi.org/10.1093/molbev/msz251,,1,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,oxyR:oxyR_ale17_h2o2,TRUE,TRUE
ecoli_00334,oxyR__oxyR_ale17_h2o2__2,OxyR ALE,oxyR,oxyR_ale17_h2o2,2,Amitesh Anand,Amitesh Anand,3/8/2019,Escherichia coli OxyR.17.45,GMOS,M9,glucose(4),NH4Cl(1),O2,,H2O2(2mM),37,7,,Batch,,Endpoint,Clonal,HiSeq 4000,,2,s3://precise-db/raw_data/oxyR/PAL042_S42_L001_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL042_S42_L002_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL042_S42_L003_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL042_S42_L004_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL042_S42_L001_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL042_S42_L002_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL042_S42_L003_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL042_S42_L004_R2_001.fastq.gz,,,https://doi.org/10.1093/molbev/msz251,,1,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,oxyR:oxyR_ale17_h2o2,TRUE,TRUE
ecoli_00335,oxyR__oxyR_ale18__1,OxyR ALE,oxyR,oxyR_ale18,1,Amitesh Anand,Amitesh Anand,3/8/2019,Escherichia coli OxyR.18.39,GMOS,M9,glucose(4),NH4Cl(1),O2,,,37,7,,Batch,,Endpoint,Clonal,HiSeq 4000,,2,s3://precise-db/raw_data/oxyR/PAL043_S43_L001_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL043_S43_L002_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL043_S43_L003_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL043_S43_L004_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL043_S43_L001_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL043_S43_L002_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL043_S43_L003_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL043_S43_L004_R2_001.fastq.gz,,,https://doi.org/10.1093/molbev/msz251,,1,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,oxyR:oxyR_ale18,TRUE,TRUE
ecoli_00336,oxyR__oxyR_ale18__2,OxyR ALE,oxyR,oxyR_ale18,2,Amitesh Anand,Amitesh Anand,3/8/2019,Escherichia coli OxyR.18.39,GMOS,M9,glucose(4),NH4Cl(1),O2,,,37,7,,Batch,,Endpoint,Clonal,HiSeq 4000,,2,s3://precise-db/raw_data/oxyR/PAL044_S44_L001_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL044_S44_L002_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL044_S44_L003_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL044_S44_L004_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL044_S44_L001_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL044_S44_L002_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL044_S44_L003_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL044_S44_L004_R2_001.fastq.gz,,,https://doi.org/10.1093/molbev/msz251,,1,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,oxyR:oxyR_ale18,TRUE,TRUE
ecoli_00337,oxyR__oxyR_ale18_h2o2__1,OxyR ALE,oxyR,oxyR_ale18_h2o2,1,Amitesh Anand,Amitesh Anand,3/8/2019,Escherichia coli OxyR.18.39,GMOS,M9,glucose(4),NH4Cl(1),O2,,H2O2(2mM),37,7,,Batch,,Endpoint,Clonal,HiSeq 4000,,2,s3://precise-db/raw_data/oxyR/PAL045_S45_L001_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL045_S45_L002_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL045_S45_L003_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL045_S45_L004_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL045_S45_L001_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL045_S45_L002_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL045_S45_L003_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL045_S45_L004_R2_001.fastq.gz,,,https://doi.org/10.1093/molbev/msz251,,1,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,oxyR:oxyR_ale18_h2o2,TRUE,TRUE
ecoli_00338,oxyR__oxyR_ale18_h2o2__2,OxyR ALE,oxyR,oxyR_ale18_h2o2,2,Amitesh Anand,Amitesh Anand,3/8/2019,Escherichia coli OxyR.18.39,GMOS,M9,glucose(4),NH4Cl(1),O2,,H2O2(2mM),37,7,,Batch,,Endpoint,Clonal,HiSeq 4000,,2,s3://precise-db/raw_data/oxyR/PAL046_S46_L001_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL046_S46_L002_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL046_S46_L003_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL046_S46_L004_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL046_S46_L001_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL046_S46_L002_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL046_S46_L003_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL046_S46_L004_R2_001.fastq.gz,,,https://doi.org/10.1093/molbev/msz251,,1,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,oxyR:oxyR_ale18_h2o2,TRUE,TRUE
ecoli_00339,oxyR__oxyR_ale19__1,OxyR ALE,oxyR,oxyR_ale19,1,Amitesh Anand,Amitesh Anand,3/8/2019,Escherichia coli OxyR.19.39,GMOS,M9,glucose(4),NH4Cl(1),O2,,,37,7,,Batch,,Endpoint,Clonal,HiSeq 4000,,2,s3://precise-db/raw_data/oxyR/PAL047_S47_L001_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL047_S47_L002_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL047_S47_L003_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL047_S47_L004_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL047_S47_L001_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL047_S47_L002_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL047_S47_L003_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL047_S47_L004_R2_001.fastq.gz,,,https://doi.org/10.1093/molbev/msz251,,1,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,oxyR:oxyR_ale19,TRUE,TRUE
ecoli_00340,oxyR__oxyR_ale19__2,OxyR ALE,oxyR,oxyR_ale19,2,Amitesh Anand,Amitesh Anand,3/8/2019,Escherichia coli OxyR.19.39,GMOS,M9,glucose(4),NH4Cl(1),O2,,,37,7,,Batch,,Endpoint,Clonal,HiSeq 4000,,2,s3://precise-db/raw_data/oxyR/PAL048_S48_L001_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL048_S48_L002_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL048_S48_L003_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL048_S48_L004_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL048_S48_L001_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL048_S48_L002_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL048_S48_L003_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL048_S48_L004_R2_001.fastq.gz,,,https://doi.org/10.1093/molbev/msz251,,1,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,oxyR:oxyR_ale19,TRUE,TRUE
ecoli_00341,oxyR__oxyR_ale19_h2o2__1,OxyR ALE,oxyR,oxyR_ale19_h2o2,1,Amitesh Anand,Amitesh Anand,3/8/2019,Escherichia coli OxyR.19.39,GMOS,M9,glucose(4),NH4Cl(1),O2,,H2O2(2mM),37,7,,Batch,,Endpoint,Clonal,HiSeq 4000,,2,s3://precise-db/raw_data/oxyR/PAL049_S49_L001_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL049_S49_L002_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL049_S49_L003_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL049_S49_L004_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL049_S49_L001_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL049_S49_L002_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL049_S49_L003_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL049_S49_L004_R2_001.fastq.gz,,,https://doi.org/10.1093/molbev/msz251,,1,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,oxyR:oxyR_ale19_h2o2,TRUE,TRUE
ecoli_00342,oxyR__oxyR_ale19_h2o2__2,OxyR ALE,oxyR,oxyR_ale19_h2o2,2,Amitesh Anand,Amitesh Anand,3/8/2019,Escherichia coli OxyR.19.39,GMOS,M9,glucose(4),NH4Cl(1),O2,,H2O2(2mM),37,7,,Batch,,Endpoint,Clonal,HiSeq 4000,,2,s3://precise-db/raw_data/oxyR/PAL050_S50_L001_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL050_S50_L002_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL050_S50_L003_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL050_S50_L004_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL050_S50_L001_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL050_S50_L002_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL050_S50_L003_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL050_S50_L004_R2_001.fastq.gz,,,https://doi.org/10.1093/molbev/msz251,,1,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,oxyR:oxyR_ale19_h2o2,TRUE,TRUE
ecoli_00343,oxyR__oxyR_ale20__1,OxyR ALE,oxyR,oxyR_ale20,1,Amitesh Anand,Amitesh Anand,3/8/2019,Escherichia coli OxyR.20.40,GMOS,M9,glucose(4),NH4Cl(1),O2,,,37,7,,Batch,,Endpoint,Clonal,HiSeq 4000,,2,s3://precise-db/raw_data/oxyR/PAL051_S51_L001_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL051_S51_L002_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL051_S51_L003_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL051_S51_L004_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL051_S51_L001_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL051_S51_L002_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL051_S51_L003_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL051_S51_L004_R2_001.fastq.gz,,,https://doi.org/10.1093/molbev/msz251,,1,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,oxyR:oxyR_ale20,TRUE,TRUE
